	Lettre1	Bloc	Paires	OrdreAlea	Lettre2	n	rating.response_mean	rating.response_raw	rating.response_std	rating.rt_mean	rating.rt_raw	rating.rt_std	order	numPs
5845	u	6	u k	0.139470919	k	1	0.330000013	0.330000013	0	3.517999887	3.517999887	0	34	G
5855	t	6	t q	0.648573082	q	1	0.059999999	0.059999999	0	1.753000021	1.753000021	0	35	G
5865	k	6	k c	0.430887112	c	1	0.059999999	0.059999999	0	0.736000001	0.736000001	0	36	G
5875	d	6	d q	0.120572313	q	1	0.319999993	0.319999993	0	2.552999973	2.552999973	0	37	G
5885	i	6	i i	0.696092842	i	1	0.980000019	0.980000019	0	1.736999989	1.736999989	0	38	G
5895	n	6	n a	0.467230706	a	1	0.340000004	0.340000004	0	3.720000029	3.720000029	0	39	G
5905	d	6	d u	0.022204032	u	1	0.50999999	0.50999999	0	3.40199995	3.40199995	0	40	G
5915	r	6	r o	0.429989387	o	1	0.029999999	0.029999999	0	2.769000053	2.769000053	0	41	G
5925	m	6	m y	0.974580441	y	1	0.25999999	0.25999999	0	3.101999998	3.101999998	0	42	G
5935	m	6	m b	0.486769177	b	1	0.050000001	0.050000001	0	2.252000093	2.252000093	0	43	G
5945	l	6	l t	0.736924797	t	1	0.050000001	0.050000001	0	1.218999982	1.218999982	0	44	G
5955	r	6	r z	0.976480119	z	1	0.239999995	0.239999995	0	1.93599999	1.93599999	0	45	G
5965	c	6	c v	0.732430823	v	1	0.209999993	0.209999993	0	4.702000141	4.702000141	0	46	G
5975	o	6	o s	0.811301882	s	1	0.029999999	0.029999999	0	1.371000052	1.371000051	0	47	G
5985	e	6	e g	0.805634069	g	1	0.039999999	0.039999999	0	2.40199995	2.40199995	0	48	G
5995	j	6	j e	0.966029327	e	1	0.039999999	0.039999999	0	1.036000013	1.036000013	0	49	G
6005	l	6	l y	0.111587141	y	1	0.039999999	0.039999999	0	2.736000061	2.736000061	0	50	G
6015	j	6	j q	0.668408335	q	1	0.119999997	0.119999997	0	1.320000052	1.320000052	0	51	G
6115	u	7	u w	0.817272079	w	1	0.02	0.02	0	1.870000005	1.870000005	0	0	G
6125	k	7	k a	0.948169786	a	1	0.170000002	0.170000002	0	3.90199995	3.90199995	0	1	G
6135	z	7	z g	0.390259843	g	1	0.039999999	0.039999999	0	2.619999886	2.619999886	0	2	G
6145	f	7	f d	0.217878345	d	1	0.319999993	0.319999993	0	3.003999949	3.003999949	0	3	G
6155	w	7	w s	0.827179178	s	1	0.07	0.07	0	9.569000244	9.569000244	0	4	G
6165	b	7	b j	0.074505553	j	1	0.109999999	0.109999999	0	3.40199995	3.40199995	0	5	G
6175	c	7	c y	0.276711352	y	1	0.460000008	0.460000008	0	2.269999981	2.269999981	0	6	G
6185	f	7	f y	0.159199712	y	1	0.280000001	0.280000001	0	2.486000061	2.486000061	0	7	G
6195	z	7	z i	0.00756729	i	1	0.050000001	0.050000001	0	1.91900003	1.91900003	0	8	G
6205	e	7	e h	0.479082289	h	1	0.050000001	0.050000001	0	1.069000006	1.069000006	0	9	G
62110	a	7	a n	0.542280158	n	1	0.050000001	0.050000001	0	1.886000037	1.886000037	0	10	G
6225	o	7	o a	0.701286173	a	1	0.050000001	0.050000001	0	1.437000036	1.437000036	0	11	G
6235	z	7	z b	0.858999246	b	1	0.180000007	0.180000007	0	2.368999958	2.368999958	0	12	G
6245	x	7	x p	0.039869945	p	1	0.029999999	0.029999999	0	2.41899991	2.41899991	0	13	G
6255	g	7	g c	0.905116449	c	1	0.100000001	0.100000001	0	1.503999949	1.503999949	0	14	G
6265	m	7	m l	0.572010399	l	1	0.230000004	0.230000004	0	2.286000013	2.286000013	0	15	G
6275	z	7	z n	0.995061021	n	1	0.050000001	0.050000001	0	1.970000029	1.970000029	0	16	G
6285	q	7	q e	0.380550034	e	1	0.050000001	0.050000001	0	0.885999978	0.885999978	0	17	G
6295	x	7	x g	0.761764934	g	1	0.050000001	0.050000001	0	0.887000024	0.887000024	0	18	G
6305	n	7	n t	0.984312788	t	1	0.050000001	0.050000001	0	0.819999993	0.819999993	0	19	G
63110	a	7	a c	0.894907775	c	1	0.400000006	0.400000006	0	1.886999965	1.886999965	0	20	G
6325	m	7	m p	0.549723505	p	1	0.029999999	0.029999999	0	2.118999958	2.118999958	0	21	G
6335	n	7	n o	0.318177097	o	1	0.050000001	0.050000001	0	1.003000021	1.003000021	0	22	G
6345	n	7	n z	0.474943698	z	1	0.07	0.07	0	1.253000021	1.253000021	0	23	G
6355	y	7	y u	0.703504562	u	1	0.360000014	0.360000014	0	2.41899991	2.41899991	0	24	G
6365	y	7	y w	0.483070591	w	1	0.050000001	0.050000001	0	2.503000021	2.503000021	0	25	G
6375	v	7	v p	0.653946871	p	1	0.050000001	0.050000001	0	0.819999993	0.819999993	0	26	G
6385	t	7	t x	0.979236322	x	1	0.050000001	0.050000001	0	0.720000029	0.720000029	0	27	G
6395	p	7	p t	0.732153746	t	1	0.050000001	0.050000001	0	1.537999988	1.537999988	0	28	G
6405	y	7	y x	0.64972661	x	1	0.100000001	0.100000001	0	2.219000101	2.219000101	0	29	G
64110	c	7	c x	0.956951526	x	1	0.129999995	0.129999995	0	2.219000101	2.219000101	0	30	G
6425	a	7	a g	0.493923355	g	1	0.050000001	0.050000001	0	1.536000013	1.536000013	0	31	G
6435	q	7	q n	0.054411123	n	1	0.059999999	0.059999999	0	1.970999956	1.970999956	0	32	G
6445	m	7	m o	0.336390822	o	1	0.059999999	0.059999999	0	0.787	0.787	0	33	G
6455	u	7	u p	0.570846576	p	1	0.059999999	0.059999999	0	0.720000029	0.720000029	0	34	G
6465	p	7	p k	0.639837453	k	1	0.059999999	0.059999999	0	1.335999966	1.335999966	0	35	G
6475	e	7	e l	0.095384024	l	1	0.059999999	0.059999999	0	2.618999958	2.618999958	0	36	G
6485	q	7	q p	0.449954068	p	1	0.059999999	0.059999999	0	1.30400002	1.30400002	0	37	G
6495	j	7	j g	0.722989818	g	1	0.5	0.5	0	1.937000036	1.937000036	0	38	G
6505	z	7	z z	0.346827278	z	1	0.959999979	0.959999979	0	2.118999958	2.118999958	0	39	G
65110	y	7	y n	0.21795865	n	1	0.050000001	0.050000001	0	4.785999775	4.785999775	0	40	G
6525	a	7	a j	0.758814321	j	1	0.200000003	0.200000003	0	4.452000141	4.452000141	0	41	G
6535	f	7	f m	0.593293897	m	1	0.610000014	0.610000014	0	2.719000101	2.719000101	0	42	G
6545	m	7	m t	0.134568546	t	1	0.050000001	0.050000001	0	1.886000037	1.886000037	0	43	G
6555	o	7	o g	0.527116983	g	1	0.029999999	0.029999999	0	4.302999973	4.302999973	0	44	G
6565	l	7	l i	0.13350676	i	1	0.170000002	0.170000002	0	1.702999949	1.702999949	0	45	G
6575	w	7	w i	0.777312096	i	1	0.039999999	0.039999999	0	1.904000044	1.904000044	0	46	G
